-BEGIN HEADER-,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 01/01/2022 through 03/01/2023 ,,,,,,,,
Location: Latitude  15.8497   Longitude 74.4977 ,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 656.47 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
Parameter(s): ,,,,,,,,
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,
PS              MERRA-2 Surface Pressure (kPa) ,,,,,,,,
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,,Min_Temperature,Max_Temperature,Temperature,Precipitation,Humidity,Surface_Pressure,Wind_speed
2022,1,17.12,27.66,21.95,0,13.24,94.21,2.05
2022,2,16.81,28.35,22.23,0,12.76,94.07,2.03
2022,3,16.42,28.05,21.78,0,12.15,94.03,1.85
2022,4,16.48,28.43,21.82,0,11.35,94.02,1.97
2022,5,13.77,27.81,20.19,0,10.56,94.02,1.3
2022,6,13.26,28.19,19.91,0,10.44,93.93,1.26
2022,7,14.25,27.61,19.93,0,11.78,93.94,1.53
2022,8,15.92,27.22,20.22,0.08,11.6,94.01,1.39
2022,9,13.63,27.3,19.4,0.06,11.05,93.89,1.34
2022,10,14.42,27.65,19.62,0,11.41,93.88,1.44
2022,11,13.5,26.37,18.46,0,10.62,93.93,1.73
2022,12,10.83,25.85,17.3,0,9.4,93.86,1.48
2022,13,11.84,24.14,17.08,0,10.07,93.85,1.66
2022,14,13.49,25.66,18.3,0,10.5,93.85,1.52
2022,15,12.44,28.3,19.27,0,10.62,93.9,1.23
2022,16,14.05,29.13,21.62,0,11.23,93.96,1.6
2022,17,17.89,28.88,22.69,0.01,12.27,94.14,1.77
2022,18,16.51,29.98,22.21,0,10.5,94.08,2.11
2022,19,14.62,30.23,21.35,0,8.91,93.96,1.7
2022,20,14.68,31.47,21.73,0,8.79,93.79,1.68
2022,21,13.9,31.76,21.58,0,8.61,93.8,1.91
2022,22,14.99,29.01,20.37,0,11.29,93.71,1.96
2022,23,13.95,26.42,19.58,0.07,11.6,93.71,2.67
2022,24,12.34,25.62,17.73,0.01,9.22,93.69,1.63
2022,25,10.37,27.7,17.95,0,8.06,93.68,1.76
2022,26,11.58,29.02,19.33,0,9.16,93.72,1.24
2022,27,12.52,29.61,20.66,0,9.03,93.74,1.92
2022,28,15.08,30.05,21.19,0,7.51,93.86,3.51
2022,29,13.12,30.55,21.07,0,6.59,93.98,2.81
2022,30,13.03,31.89,21.61,0,7.69,93.88,1.69
2022,31,15.4,32.82,22.72,0,8.3,93.78,1.25
2022,32,14.1,33.49,22.53,0,7.51,93.72,1.45
2022,33,14.08,34.23,22.76,0,7.39,93.77,1.37
2022,34,14.46,31.7,21.46,0,9.4,93.76,2.2
2022,35,14.12,29.26,20.19,0,9.4,93.7,1.78
2022,36,13.51,32.03,21.24,0,9.52,93.7,1.64
2022,37,13.46,32.62,21.94,0,9.7,93.92,2.3
2022,38,14.65,32.55,22.48,0,10.5,93.95,1.74
2022,39,15.28,32.12,22.27,0,10.56,93.86,1.97
2022,40,14.88,32.82,22.48,0,10.07,93.8,1.92
2022,41,14.58,32.62,23.2,0,9.16,93.78,1.41
2022,42,18.55,33.25,24.98,0,8.85,93.75,2.38
2022,43,17.26,33.06,24.12,0,8.73,93.74,2.02
2022,44,15.57,32.98,23.47,0,7.26,93.62,1.45
2022,45,16.31,33.29,23.37,0,8.36,93.61,1.52
2022,46,14.9,32.55,22.58,0,8.54,93.65,1.95
2022,47,13.69,31.68,22.07,0,8.54,93.54,2.15
2022,48,14.3,32.73,22.62,0,8.48,93.43,1.84
2022,49,15.26,33.04,23.57,0,8.91,93.54,1.3
2022,50,17.9,33.3,24.71,0,10.25,93.77,2.16
2022,51,17.02,35.48,24.99,0,9.89,93.72,1.95
2022,52,16.73,35.44,24.94,0,9.34,93.67,1.79
2022,53,15.98,36.34,25.43,0,8.24,93.75,1.16
2022,54,18.25,35.78,26.14,0,10.07,93.91,1.86
2022,55,17.85,35.67,25.94,0,9.95,94.02,1.27
2022,56,17.45,35.62,25.8,0,9.16,93.95,1.08
2022,57,15.98,35.53,25.01,0,6.04,93.93,1.59
2022,58,15.51,34.83,24.67,0,6.65,93.97,1.1
2022,59,15.95,35.3,25.37,0,6.41,93.9,1.31
2022,60,17.2,35.76,25.98,0,7.02,93.9,0.88
2022,61,16.8,35.94,25.94,0,6.41,93.85,1.62
2022,62,17.1,35.92,26.27,0,5.8,93.83,1.45
2022,63,17.44,36.04,26.23,0,6.53,93.85,1.44
2022,64,18.16,36.33,27.01,0,6.84,93.79,1.54
2022,65,18.63,35.86,26.85,0,7.75,93.73,1.45
2022,66,19.65,35.53,27.1,0,8.06,93.73,2.28
2022,67,21.53,35.71,27.82,0,10.25,93.75,1.97
2022,68,21.03,36.4,28.26,0,11.35,93.72,1.67
2022,69,21.44,35.9,28.07,0,9.95,93.69,1.59
2022,70,22.98,34.81,28.5,0,9.64,93.67,1.43
2022,71,22.61,33.55,27.86,0,8.79,93.67,2.55
2022,72,21.15,36.77,29.03,0,8.67,93.65,1.54
