Month,Days,YEAR,Date,Temperature,Min_Temperature,Max_Temperature,Humidity,Precipitation,Surface_Pressure,Wind_speed
Jan,1,2022,01-01-2022,21.95,17.12,27.66,13.24,0,94.21,2.05
jan,2,2022,02-01-2022,22.23,16.81,28.35,12.76,0,94.07,2.03
Jan,3,2022,03-01-2022,21.78,16.42,28.05,12.15,0,94.03,1.85
Jan,4,2022,04-01-2022,21.82,16.48,28.43,11.35,0,94.02,1.97
Jan,5,2022,05-01-2022,20.19,13.77,27.81,10.56,0,94.02,1.3
Jan,6,2022,06-01-2022,19.91,13.26,28.19,10.44,0,93.93,1.26
Jan,7,2022,07-01-2022,19.93,14.25,27.61,11.78,0,93.94,1.53
Jan,8,2022,08-01-2022,20.22,15.92,27.22,11.6,0.08,94.01,1.39
Jan,9,2022,09-01-2022,19.4,13.63,27.3,11.05,0.06,93.89,1.34
Jan,10,2022,10-01-2022,19.62,14.42,27.65,11.41,0,93.88,1.44
Jan,11,2022,11-01-2022,18.46,13.5,26.37,10.62,0,93.93,1.73
Jan,12,2022,12-01-2022,17.3,10.83,25.85,9.4,0,93.86,1.48
Jan,13,2022,13-01-2022,17.08,11.84,24.14,10.07,0,93.85,1.66
Jan,14,2022,14-01-2022,18.3,13.49,25.66,10.5,0,93.85,1.52
Jan,15,2022,15-01-2022,19.27,12.44,28.3,10.62,0,93.9,1.23
Jan,16,2022,16-01-2022,21.62,14.05,29.13,11.23,0,93.96,1.6
Jan,17,2022,17-01-2022,22.69,17.89,28.88,12.27,0.01,94.14,1.77
Jan,18,2022,18-01-2022,22.21,16.51,29.98,10.5,0,94.08,2.11
Jan,19,2022,19-01-2022,21.35,14.62,30.23,8.91,0,93.96,1.7
Jan,20,2022,20-01-2022,21.73,14.68,31.47,8.79,0,93.79,1.68
Jan,21,2022,21-01-2022,21.58,13.9,31.76,8.61,0,93.8,1.91
Jan,22,2022,22-01-2022,20.37,14.99,29.01,11.29,0,93.71,1.96
Jan,23,2022,23-01-2022,19.58,13.95,26.42,11.6,0.07,93.71,2.67
Jan,24,2022,24-01-2022,17.73,12.34,25.62,9.22,0.01,93.69,1.63
Jan,25,2022,25-01-2022,17.95,10.37,27.7,8.06,0,93.68,1.76
Jan,26,2022,26-01-2022,19.33,11.58,29.02,9.16,0,93.72,1.24
Jan,27,2022,27-01-2022,20.66,12.52,29.61,9.03,0,93.74,1.92
Jan,28,2022,28-01-2022,21.19,15.08,30.05,7.51,0,93.86,3.51
Jan,29,2022,29-01-2022,21.07,13.12,30.55,6.59,0,93.98,2.81
Jan,30,2022,30-01-2022,21.61,13.03,31.89,7.69,0,93.88,1.69
Jan,31,2022,31-01-2022,22.72,15.4,32.82,8.3,0,93.78,1.25
Feb,32,2022,01-02-2022,22.53,14.1,33.49,7.51,0,93.72,1.45
Feb,33,2022,02-02-2022,22.76,14.08,34.23,7.39,0,93.77,1.37
Feb,34,2022,03-02-2022,21.46,14.46,31.7,9.4,0,93.76,2.2
Feb,35,2022,04-02-2022,20.19,14.12,29.26,9.4,0,93.7,1.78
Feb,36,2022,05-02-2022,21.24,13.51,32.03,9.52,0,93.7,1.64
Feb,37,2022,06-02-2022,21.94,13.46,32.62,9.7,0,93.92,2.3
Feb,38,2022,07-02-2022,22.48,14.65,32.55,10.5,0,93.95,1.74
Feb,39,2022,08-02-2022,22.27,15.28,32.12,10.56,0,93.86,1.97
Feb,40,2022,09-02-2022,22.48,14.88,32.82,10.07,0,93.8,1.92
Feb,41,2022,10-02-2022,23.2,14.58,32.62,9.16,0,93.78,1.41
Feb,42,2022,11-02-2022,24.98,18.55,33.25,8.85,0,93.75,2.38
Feb,43,2022,12-02-2022,24.12,17.26,33.06,8.73,0,93.74,2.02
Feb,44,2022,13-02-2022,23.47,15.57,32.98,7.26,0,93.62,1.45
Feb,45,2022,14-02-2022,23.37,16.31,33.29,8.36,0,93.61,1.52
Feb,46,2022,15-02-2022,22.58,14.9,32.55,8.54,0,93.65,1.95
Feb,47,2022,16-02-2022,22.07,13.69,31.68,8.54,0,93.54,2.15
Feb,48,2022,17-02-2022,22.62,14.3,32.73,8.48,0,93.43,1.84
Feb,49,2022,18-02-2022,23.57,15.26,33.04,8.91,0,93.54,1.3
Feb,50,2022,19-02-2022,24.71,17.9,33.3,10.25,0,93.77,2.16
Feb,51,2022,20-02-2022,24.99,17.02,35.48,9.89,0,93.72,1.95
Feb,52,2022,21-02-2022,24.94,16.73,35.44,9.34,0,93.67,1.79
Feb,53,2022,22-02-2022,25.43,15.98,36.34,8.24,0,93.75,1.16
Feb,54,2022,23-02-2022,26.14,18.25,35.78,10.07,0,93.91,1.86
Feb,55,2022,24-02-2022,25.94,17.85,35.67,9.95,0,94.02,1.27
