-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 05/01/2023 through 07/31/2023 
Location: Latitude  16.5561   Longitude 73.7961 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 281.51 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,DOY,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS10M
2023,121,15.72,38.53,22.8,11.6,0.0,97.55,3.54
2023,122,14.73,37.23,22.51,12.94,0.01,97.63,3.68
2023,123,13.32,36.79,23.47,14.22,0.11,97.76,3.7
2023,124,12.84,36.21,23.37,13.49,0.05,97.71,3.52
2023,125,12.65,36.27,23.62,13.31,0.01,97.63,3.62
2023,126,13.96,37.61,23.65,13.37,0.0,97.61,3.79
2023,127,10.59,35.48,24.9,15.44,1.75,97.64,4.3
2023,128,8.4,33.75,25.35,17.76,9.77,97.52,2.62
2023,129,8.99,34.25,25.26,19.1,5.69,97.52,2.04
2023,130,8.48,34.02,25.54,19.41,5.67,97.5,1.65
2023,131,9.98,35.65,25.68,18.68,0.71,97.59,2.52
2023,132,11.4,36.62,25.23,18.13,0.56,97.66,2.76
2023,133,11.04,36.56,25.52,18.31,0.78,97.7,3.38
2023,134,10.38,35.78,25.41,17.58,0.64,97.64,3.03
2023,135,11.95,36.12,24.16,16.48,0.39,97.74,3.66
2023,136,14.59,37.05,22.46,15.08,0.0,97.83,3.63
2023,137,14.6,38.75,24.14,16.36,0.09,97.8,3.43
2023,138,14.98,38.94,23.96,15.93,0.07,97.9,3.66
2023,139,15.2,39.38,24.18,15.62,0.04,97.75,4.02
2023,140,12.15,37.51,25.35,17.09,0.57,97.72,3.85
2023,141,12.65,38.12,25.47,16.78,0.7,97.78,4.01
2023,142,12.18,37.48,25.3,16.91,1.06,97.8,3.95
2023,143,14.16,40.23,26.07,15.5,0.66,97.83,3.06
2023,144,11.41,36.36,24.94,15.2,0.05,97.87,3.05
2023,145,11.95,37.15,25.2,15.87,0.31,97.93,3.95
2023,146,10.98,36.37,25.39,16.05,0.34,97.96,4.23
2023,147,11.88,36.45,24.56,15.26,0.09,97.86,4.62
2023,148,12.41,37.6,25.19,16.3,0.4,97.72,4.59
2023,149,15.42,41.08,25.66,15.93,0.62,97.6,3.69
