Month,Days,YEAR,Date,Temperature,Min_Temperature,Max_Temperature,Humidity,Precipitation,Surface_Pressure,Wind_speed
May,1,2023,01-05-2023,22.8,15.72,38.53,11.6,0,97.55,3.54
May,2,2023,02-05-2023,22.51,14.73,37.23,12.94,0.01,97.63,3.68
May,3,2023,03-05-2023,23.47,13.32,36.79,14.22,0.11,97.76,3.7
May,4,2023,04-05-2023,23.37,12.84,36.21,13.49,0.05,97.71,3.52
May,5,2023,05-05-2023,23.62,12.65,36.27,13.31,0.01,97.63,3.62
May,6,2023,06-05-2023,23.65,13.96,37.61,13.37,0,97.61,3.79
May,7,2023,07-05-2023,24.9,10.59,35.48,15.44,1.75,97.64,4.3
May,8,2023,08-05-2023,25.35,8.4,33.75,17.76,9.77,97.52,2.62
May,9,2023,09-05-2023,25.26,8.99,34.25,19.1,5.69,97.52,2.04
May,10,2023,10-05-2023,25.54,8.48,34.02,19.41,5.67,97.5,1.65
May,11,2023,11-05-2023,25.68,9.98,35.65,18.68,0.71,97.59,2.52
May,12,2023,12-05-2023,25.23,11.4,36.62,18.13,0.56,97.66,2.76
May,13,2023,13-05-2023,25.52,11.04,36.56,18.31,0.78,97.7,3.38
May,14,2023,14-05-2023,25.41,10.38,35.78,17.58,0.64,97.64,3.03
May,15,2023,15-05-2023,24.16,11.95,36.12,16.48,0.39,97.74,3.66
May,16,2023,16-05-2023,22.46,14.59,37.05,15.08,0,97.83,3.63
May,17,2023,17-05-2023,24.14,14.6,38.75,16.36,0.09,97.8,3.43
May,18,2023,18-05-2023,23.96,14.98,38.94,15.93,0.07,97.9,3.66
May,19,2023,19-05-2023,24.18,15.2,39.38,15.62,0.04,97.75,4.02
May,20,2023,20-05-2023,25.35,12.15,37.51,17.09,0.57,97.72,3.85
May,21,2023,21-05-2023,25.47,12.65,38.12,16.78,0.7,97.78,4.01
May,22,2023,22-05-2023,25.3,12.18,37.48,16.91,1.06,97.8,3.95
May,23,2023,23-05-2023,26.07,14.16,40.23,15.5,0.66,97.83,3.06
May,24,2023,24-05-2023,24.94,11.41,36.36,15.2,0.05,97.87,3.05
May,25,2023,25-05-2023,25.2,11.95,37.15,15.87,0.31,97.93,3.95
May,26,2023,26-05-2023,25.39,10.98,36.37,16.05,0.34,97.96,4.23
May,27,2023,27-05-2023,24.56,11.88,36.45,15.26,0.09,97.86,4.62
May,28,2023,28-05-2023,25.19,12.41,37.6,16.3,0.4,97.72,4.59
May,29,2023,29-05-2023,25.66,15.42,41.08,15.93,0.62,97.6,3.69
May,30,2023,30-05-2023,26.77,9.94,36.71,17.15,1.69,97.68,2.75
May,31,2023,31-05-2023,25.97,10.3,36.27,17.7,1.7,97.63,2.55
June,32,2023,01-06-2023,25.82,9.47,35.29,18.55,3.08,97.67,3.07
June,33,2023,02-06-2023,25.44,12.23,37.66,16.42,0.62,97.7,3.68
June,34,2023,03-06-2023,24.46,11.91,36.37,17.21,0.46,97.67,3.98
June,35,2023,04-06-2023,25.71,9.47,35.17,18.07,0.96,97.66,3.82
June,36,2023,05-06-2023,25.89,9.12,35.01,17.82,0.97,97.63,3.66
June,37,2023,06-06-2023,25.19,12.2,37.39,17.03,0.59,97.61,4.14
June,38,2023,07-06-2023,25.9,11.01,36.91,17.7,3.48,97.57,4.09
June,39,2023,08-06-2023,26.33,8.41,34.74,18.86,8.07,97.58,3.18
June,40,2023,09-06-2023,25.98,6.27,32.26,19.47,4.23,97.49,4.22
June,41,2023,10-06-2023,25.27,7.2,32.48,18.98,10.31,97.4,5.55
June,42,2023,11-06-2023,25.01,8.51,33.52,17.46,2.87,97.34,6.12
June,43,2023,12-06-2023,25.49,8.62,34.11,18.25,5.88,97.34,6.92
June,44,2023,13-06-2023,25.78,7.95,33.73,18.13,3.44,97.47,6.38
June,45,2023,14-06-2023,25.98,6.57,32.55,19.04,8.14,97.59,5.75
June,46,2023,15-06-2023,25.67,7.75,33.42,18.62,4.72,97.65,5.7
June,47,2023,16-06-2023,25.55,8,33.55,18.49,5.15,97.61,5.55
June,48,2023,17-06-2023,25.44,6.85,32.29,19.04,6.28,97.61,4.96
June,49,2023,18-06-2023,24.58,8.02,32.61,19.04,5.84,97.61,4.33
June,50,2023,19-06-2023,25.01,8.34,33.34,19.04,2.38,97.52,3.92
June,51,2023,20-06-2023,24.85,9.48,34.33,18.55,1.87,97.45,3.83
June,52,2023,21-06-2023,25.49,6.14,31.64,19.65,11.66,97.45,4.06
June,53,2023,22-06-2023,25.54,5.8,31.34,19.35,17.32,97.5,3.81
June,54,2023,23-06-2023,25.02,7.13,32.15,19.17,7.99,97.5,4.02
June,55,2023,24-06-2023,24.34,4.65,28.99,19.23,11.59,97.45,3.7
June,56,2023,25-06-2023,23.43,7.03,30.46,19.17,17.98,97.43,3.7
June,57,2023,26-06-2023,24.36,3.55,27.9,19.96,61.49,97.5,5.12
June,58,2023,27-06-2023,23.24,4.71,27.95,18.01,27.69,97.57,3.48
June,59,2023,28-06-2023,23.29,5.04,28.33,18.55,31.74,97.64,4.79
June,60,2023,29-06-2023,23.5,3.77,27.26,18.49,37.21,97.66,4.16
June,61,2023,30-06-2023,23.76,4.77,28.54,19.1,17.69,97.66,5.22
July,62,2023,01-07-2023,24.55,4.77,29.31,19.35,16.78,97.68,6.09
July,63,2023,02-07-2023,24.82,4.16,28.98,19.78,24.77,97.6,6.48
July,64,2023,03-07-2023,25.4,2.66,28.05,20.45,32.3,97.39,6.62
July,65,2023,04-07-2023,24.36,3.41,27.76,20.26,39.94,97.16,6.98
July,66,2023,05-07-2023,24.13,3.31,27.44,19.59,76.04,97.06,7.53
July,67,2023,06-07-2023,24.12,2.03,26.15,19.53,56.49,97.26,8.4
July,68,2023,07-07-2023,24.17,2.89,27.06,19.96,63.99,97.41,6.08
July,69,2023,08-07-2023,23.69,3.16,26.85,19.29,38.1,97.62,5.91
July,70,2023,09-07-2023,23.98,3.3,27.28,19.29,14.96,97.64,5.2
July,71,2023,10-07-2023,23.91,4.11,28.02,19.41,9.76,97.61,4.64
July,72,2023,11-07-2023,23.39,4.47,27.86,19.1,7.38,97.63,4.29
July,73,2023,12-07-2023,24.3,3.4,27.69,19.65,16.78,97.56,4.49
July,74,2023,13-07-2023,24.26,2.98,27.25,19.47,37.99,97.61,4.03
July,75,2023,14-07-2023,22.94,3.85,26.79,19.04,36.42,97.68,4.95
July,76,2023,15-07-2023,22.77,5.56,28.33,19.41,11.68,97.66,4.96
July,77,2023,16-07-2023,24.27,2.98,27.25,19.53,13.35,97.62,5.3
July,78,2023,17-07-2023,24.48,2.57,27.05,19.65,26.85,97.55,5.52
July,79,2023,18-07-2023,24.54,1.63,26.17,19.65,72.7,97.46,7.34
July,80,2023,19-07-2023,24.11,1.61,25.72,19.47,75.83,97.33,7.66
July,81,2023,20-07-2023,24.19,2.05,26.25,19.35,52.11,97.34,6.56
July,82,2023,21-07-2023,24.51,1.85,26.36,19.78,57.77,97.42,7.05
July,83,2023,22-07-2023,24.18,1.37,25.55,19.29,43.38,97.51,7.66
July,84,2023,23-07-2023,24.58,1.81,26.4,19.71,54.46,97.49,8.57
July,85,2023,24-07-2023,24.15,1.58,25.73,19.23,54.22,97.5,6.86
July,86,2023,25-07-2023,23.65,2.41,26.06,18.92,24.58,97.63,5.8
July,87,2023,26-07-2023,23.72,2.61,26.33,18.98,41.22,97.71,6.59
July,88,2023,27-07-2023,24.12,1.7,25.82,19.23,39.3,97.73,6.06
July,89,2023,28-07-2023,23.95,2.27,26.23,19.17,20.35,97.74,6.02
July,90,2023,29-07-2023,23.8,3.19,26.99,18.98,11.38,97.74,5.92
