-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 03/01/2023 through 07/31/2023 
Location: Latitude  17.6805   Longitude 74.0183 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 518.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
-END HEADER-
YEAR,MO,DY,WS10M,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M_RANGE
2023,3,1,2.7,0.0,36.11,18.46,17.66
2023,3,2,3.55,0.0,36.17,19.84,16.33
2023,3,3,3.65,0.0,35.8,19.45,16.34
2023,3,4,3.12,0.0,36.43,21.72,14.7
2023,3,5,2.47,0.0,36.5,19.82,16.68
2023,3,6,2.9,0.0,36.15,20.73,15.41
2023,3,7,4.15,0.0,34.81,21.04,13.77
2023,3,8,3.47,0.0,35.99,20.37,15.62
2023,3,9,2.81,0.0,34.37,22.37,12.01
2023,3,10,2.08,0.0,36.87,20.98,15.89
2023,3,11,3.04,0.0,36.99,20.99,16.0
2023,3,12,3.45,0.0,36.13,23.41,12.72
2023,3,13,2.99,0.0,36.57,21.85,14.73
2023,3,14,1.95,0.0,35.3,20.9,14.4
2023,3,15,1.54,0.14,32.79,21.62,11.17
2023,3,16,2.18,0.84,34.67,21.69,12.98
2023,3,17,2.57,0.29,34.53,21.02,13.51
2023,3,18,3.04,0.13,34.51,19.33,15.17
2023,3,19,3.38,0.02,32.47,18.13,14.34
2023,3,20,3.54,0.0,31.65,16.73,14.91
2023,3,21,3.23,0.01,33.47,18.12,15.34
2023,3,22,3.65,0.0,34.84,17.85,16.99
2023,3,23,3.94,0.0,33.85,17.51,16.34
2023,3,24,3.77,0.0,35.81,17.94,17.88
2023,3,25,3.44,0.0,35.21,17.48,17.73
2023,3,26,3.52,0.0,35.53,16.79,18.75
2023,3,27,3.53,0.0,36.61,15.72,20.88
2023,3,28,3.23,0.06,36.6,17.41,19.2
2023,3,29,3.27,0.0,36.9,18.09,18.81
2023,3,30,3.16,0.07,35.68,18.3,17.38
2023,3,31,3.49,0.08,34.3,19.21,15.09
2023,4,1,3.45,0.0,35.9,18.37,17.53
2023,4,2,3.38,0.06,35.69,17.98,17.72
2023,4,3,3.25,0.03,36.69,17.37,19.33
2023,4,4,3.34,0.02,37.76,18.22,19.55
2023,4,5,2.94,0.0,38.86,20.42,18.44
2023,4,6,2.81,0.0,39.3,20.87,18.42
2023,4,7,3.14,0.11,35.15,25.82,9.33
2023,4,8,3.19,9.26,37.31,23.7,13.6
2023,4,9,3.41,0.6,37.58,22.44,15.15
2023,4,10,3.06,0.03,39.23,22.6,16.64
2023,4,11,2.86,0.0,39.83,22.55,17.28
2023,4,12,2.63,0.0,38.72,23.79,14.93
2023,4,13,2.34,0.0,37.82,25.76,12.06
2023,4,14,3.77,1.61,33.09,23.69,9.41
2023,4,15,3.27,0.65,37.01,22.51,14.5
2023,4,16,2.67,0.02,39.62,23.09,16.53
2023,4,17,2.47,0.0,37.94,24.65,13.29
2023,4,18,2.79,0.01,41.71,23.99,17.72
2023,4,19,2.66,0.03,41.43,23.65,17.77
2023,4,20,3.04,0.05,40.69,23.15,17.53
2023,4,21,3.64,0.0,38.48,22.11,16.38
2023,4,22,4.02,0.0,36.48,19.65,16.82
2023,4,23,3.78,0.0,37.77,18.76,19.01
2023,4,24,2.52,0.0,38.54,21.56,16.98
2023,4,25,3.12,0.01,39.76,21.74,18.02
2023,4,26,2.7,0.04,37.91,21.25,16.66
2023,4,27,3.15,0.11,37.52,20.9,16.62
2023,4,28,2.88,1.43,36.01,23.19,12.81
2023,4,29,3.06,0.06,36.3,21.75,14.55
2023,4,30,3.77,0.0,36.85,20.58,16.27
2023,5,1,3.51,0.01,37.09,20.65,16.44
2023,5,2,3.51,0.01,35.97,20.19,15.77
2023,5,3,3.65,0.2,35.98,21.97,14.01
2023,5,4,3.61,0.03,36.25,20.81,15.44
2023,5,5,3.59,0.02,36.02,21.69,14.34
2023,5,6,3.7,0.22,36.48,22.4,14.09
2023,5,7,3.41,4.14,32.57,24.08,8.48
2023,5,8,2.09,8.78,32.94,23.83,9.1
2023,5,9,2.04,3.1,36.5,23.65,12.85
2023,5,10,1.66,3.37,34.65,25.48,9.17
2023,5,11,2.77,0.13,37.72,23.94,13.78
2023,5,12,3.27,0.4,37.87,24.91,12.96
2023,5,13,3.9,0.51,37.87,24.4,13.48
2023,5,14,3.96,0.06,37.48,22.88,14.59
2023,5,15,4.32,0.23,35.8,22.7,13.1
2023,5,16,4.05,0.1,36.62,20.76,15.86
2023,5,17,3.8,0.13,38.81,23.64,15.16
2023,5,18,3.59,0.02,39.0,22.9,16.1
2023,5,19,3.87,0.0,39.54,22.93,16.61
2023,5,20,4.04,0.38,37.57,24.1,13.46
2023,5,21,4.14,0.48,38.62,23.9,14.71
2023,5,22,3.92,0.53,37.6,23.61,13.99
2023,5,23,3.16,0.02,40.42,24.11,16.31
2023,5,24,3.95,0.02,37.11,24.0,13.1
2023,5,25,4.77,0.48,36.7,23.64,13.07
2023,5,26,5.05,0.6,35.84,23.79,12.05
2023,5,27,4.98,0.13,35.88,22.87,13.0
2023,5,28,4.98,0.58,37.35,23.76,13.6
2023,5,29,3.7,0.26,40.89,23.29,17.6
2023,5,30,3.16,0.16,37.83,24.52,13.31
2023,5,31,3.0,0.13,38.33,24.53,13.8
2023,6,1,3.51,1.0,38.04,24.82,13.22
2023,6,2,4.29,0.07,37.43,23.44,13.98
2023,6,3,4.49,0.53,34.89,23.52,11.38
2023,6,4,4.16,1.37,34.3,24.55,9.75
2023,6,5,3.79,1.11,34.19,24.19,10.01
2023,6,6,4.23,1.1,35.76,23.74,12.02
2023,6,7,4.55,2.44,35.0,24.76,10.23
2023,6,8,3.64,2.52,36.62,24.08,12.53
2023,6,9,4.15,4.44,33.15,24.88,8.27
2023,6,10,5.06,9.05,31.47,23.27,8.2
2023,6,11,6.02,0.97,33.4,22.78,10.62
2023,6,12,7.24,6.33,32.86,23.8,9.06
2023,6,13,7.02,3.61,32.61,23.98,8.63
2023,6,14,6.54,9.73,31.29,24.1,7.19
2023,6,15,6.71,7.87,32.01,24.15,7.87
2023,6,16,6.55,10.8,31.55,23.73,7.81
2023,6,17,5.95,9.14,31.29,24.12,7.16
2023,6,18,5.24,8.67,31.83,23.62,8.22
2023,6,19,4.43,3.41,31.97,23.69,8.27
2023,6,20,4.39,2.44,32.88,23.41,9.47
2023,6,21,4.38,9.47,31.51,23.9,7.6
2023,6,22,4.03,9.46,30.18,23.86,6.32
2023,6,23,4.53,2.93,32.03,23.46,8.57
2023,6,24,4.76,22.14,28.18,23.28,4.9
2023,6,25,4.52,26.52,28.68,22.49,6.19
2023,6,26,6.12,59.9,27.34,22.98,4.36
2023,6,27,4.87,12.95,26.21,21.3,4.9
2023,6,28,5.07,6.48,27.48,21.29,6.2
2023,6,29,5.48,6.63,28.33,21.66,6.67
2023,6,30,6.91,20.87,27.79,22.26,5.52
2023,7,1,7.03,24.59,28.75,23.55,5.2
2023,7,2,6.87,26.98,28.51,23.63,4.88
2023,7,3,6.28,32.22,27.68,24.23,3.45
2023,7,4,6.09,31.88,27.19,23.86,3.34
2023,7,5,6.09,48.43,26.33,23.32,3.02
